CustomerID,Age,Income,Gender,ProductCategory,Purchased
1,22,30000,Male,Electronics,Yes
2,34,45000,Female,Clothing,No 
3,,,Female,Electronics,Yes
4,45,60000,Male,Furniture,Yes
5,23,35000,Female,Electronics,No
6,40,55000,Male,Appliances,Yes
7,31,40000,Female,Furniture,No
8,27,48000,Male,Clothing,Yes
9,52,65000,Female,Appliances,Yes
10,38,47000,Male,Clothing,No
11,26,37000,Female,Furniture,Yes
12,,,Male,Electronics,Yes
13,28,42000,Male,Appliances,No
14,41,60000,Female,Furniture,Yes
15,33,49000,Male,Electronics,No
